idx,cd,fscore_t0.01
0,0.07397851347923279,0.009227263741195202
1,0.08485808968544006,0.07187886536121368
2,0.06413927674293518,0.006093749776482582
3,0.04542402923107147,0.012526292353868484
4,0.0609605647623539,0.0077123395167291164
5,0.08145888149738312,0.002663352293893695
6,0.1216811090707779,0.0013020833721384406
7,0.07057692110538483,0.027665769681334496
8,0.05888593569397926,0.01708984375
9,0.06218457221984863,0.023115335032343864
10,0.05924893915653229,0.013882211409509182
11,0.05453065037727356,0.06186218187212944
12,0.1180298775434494,0.0056966147385537624
13,0.09048572182655334,0.0029296875
14,0.08171321451663971,0.00390625
15,0.06841734796762466,0.016054095700383186
16,0.05308745056390762,0.01318359375
17,0.0824185162782669,0.0087890625
18,0.043681442737579346,0.03752702474594116
19,0.07747723907232285,0.005115327425301075
20,0.07583355158567429,0.007004310376942158
21,0.09604206681251526,0.00966796837747097
22,0.057582832872867584,0.0108506940305233
23,0.0676036849617958,0.0172390416264534
24,0.08192848414182663,0.0023437500931322575
25,0.07550918310880661,0.007049560546875
26,0.09702344983816147,0.0036458333488553762
27,0.06336762011051178,0.011250000447034836
28,0.0956047773361206,0.0013950893189758062
29,0.08584249019622803,0.00238037109375
30,0.06580357253551483,0.050400953739881516
31,0.053052958101034164,0.018578507006168365
32,0.05180966109037399,0.0223874319344759
33,0.03458984196186066,0.2000342160463333
34,0.09388932585716248,0.009510869160294533
35,0.054434552788734436,0.0107421875
36,0.09168001264333725,0.0033275464083999395
37,0.0329306498169899,0.12231256067752838
38,0.07336930185556412,0.002704326994717121
39,0.07703590393066406,0.00439453125
40,0.08475099503993988,0.046934667974710464
41,0.04438267648220062,0.012215306982398033
42,0.06174520403146744,0.006591796875
43,0.06716248393058777,0.03588433936238289
44,0.14213545620441437,0.00146484375
45,0.05154499039053917,0.02524181455373764
46,0.04297470301389694,0.02011954039335251
47,0.05822613090276718,0.020814407616853714
48,0.0548100620508194,0.03148321062326431
49,0.04374195635318756,0.037199944257736206
50,0.0689162090420723,0.00848214328289032
51,0.038020458072423935,0.06040511652827263
52,0.15192429721355438,0.0017361111240461469
53,0.08683504164218903,0.0018310546875
54,0.06927381455898285,0.00822805892676115
55,0.07514366507530212,0.00335693359375
56,0.06790146976709366,0.01778990961611271
57,0.03367499262094498,0.11343666166067123
58,0.0791880190372467,0.04366707429289818
59,0.04912765324115753,0.0384521484375
60,0.1701531708240509,0.0009765625
61,0.06903096288442612,0.012325402349233627
62,0.0631050169467926,0.021524235606193542
63,0.18116916716098785,0.0016276041278615594
64,0.08522097021341324,0.001953125
65,0.04897599667310715,0.026305602863430977
66,0.06203997880220413,0.028532609343528748
67,0.03703051432967186,0.028601694852113724
68,0.03893013298511505,0.07277097553014755
69,0.09270533919334412,0.048857592046260834
70,0.10189646482467651,0.002170138992369175
71,0.08837483078241348,0.005974264815449715
72,0.08321760594844818,0.00254755443893373
73,0.059985414147377014,0.00719401054084301
74,0.05442141741514206,0.02666015550494194
75,0.06623266637325287,0.011775090359151363
76,0.056161392480134964,0.08853451162576675
77,0.08774334192276001,0.002170138992369175
78,0.11267894506454468,0.010584677569568157
79,0.10899414122104645,0.0016741071594879031
80,0.06347455829381943,0.01718750037252903
81,0.08343462646007538,0.008709881454706192
82,0.11657972633838654,0.0006510416860692203
83,0.08070565015077591,0.009811046533286572
84,0.07823818176984787,0.011079545132815838
85,0.05701575428247452,0.01948242262005806
86,0.056242309510707855,0.022643547505140305
87,0.07185829430818558,0.005185883492231369
88,0.04290800541639328,0.03606901690363884
89,0.08028417825698853,0.0049715908244252205
90,0.07318802922964096,0.006015624850988388
91,0.04747236520051956,0.018119748681783676
92,0.04709402844309807,0.04073825851082802
93,0.06246155500411987,0.04161398112773895
94,0.03610745072364807,0.06038092449307442
95,0.09925609827041626,0.001953125
96,0.14170968532562256,0.0007812500116415322
97,0.1238216906785965,0.0007812500116415322
98,0.0766046792268753,0.006015624850988388
99,0.16215313971042633,0.0032552082557231188
100,0.11528622359037399,0.0023437500931322575
101,0.06836040318012238,0.0054687499068677425
102,0.08655684441328049,0.01818094216287136
103,0.07768872380256653,0.01686662994325161
104,0.11112865060567856,0.0016276041278615594
105,0.045665193349123,0.02361871860921383
106,0.06580871343612671,0.02008928544819355
107,0.07136740535497665,0.004523026291280985
108,0.13509173691272736,0.0037202381063252687
109,0.046876393258571625,0.17100515961647034
110,0.05466286465525627,0.014367055147886276
111,0.08538778126239777,0.006152343936264515
112,0.07364758849143982,0.0068359375
113,0.09042719006538391,0.0050223213620483875
114,0.0817975252866745,0.0057466947473585606
115,0.06483804434537888,0.00837053544819355
116,0.09211577475070953,0.009139623492956161
117,0.08493532240390778,0.007700892630964518
118,0.08968301117420197,0.0024857954122126102
119,0.03697056323289871,0.0960586816072464
120,0.08132193982601166,0.027597814798355103
121,0.05395597964525223,0.03679456189274788
122,0.11861263960599899,0.001953125
123,0.0793379694223404,0.01611328125
124,0.18182195723056793,0.011268028989434242
125,0.04832763597369194,0.05869239196181297
126,0.05272974446415901,0.01023065485060215
127,0.06406307965517044,0.00560461962595582
128,0.10595579445362091,0.0008544921875
129,0.06258007884025574,0.012216605246067047
130,0.07034505158662796,0.01655910350382328
131,0.05568931996822357,0.05178527161478996
132,0.06186063960194588,0.008544921875
133,0.05344393104314804,0.05650356411933899
134,0.08064895123243332,0.0026041667442768812
135,0.058975934982299805,0.043052490800619125
136,0.12524837255477905,0.0008544921875
137,0.05592499300837517,0.00732421875
138,0.04644567519426346,0.11657639592885971
139,0.08638227730989456,0.010546875186264515
140,0.043848417699337006,0.06879224628210068
141,0.11669012904167175,0.002704326994717121
142,0.07404253631830215,0.02796378917992115
143,0.04016568511724472,0.0977284237742424
144,0.04950416088104248,0.02099609375
145,0.08306452631950378,0.022813424468040466
146,0.12434983253479004,0.0030381944961845875
147,0.07284490764141083,0.002170138992369175
148,0.08802246302366257,0.0034022177569568157
149,0.05697866529226303,0.034112703055143356
150,0.1806654930114746,0.00623739929869771
151,0.08100263774394989,0.009014423005282879
152,0.10182277858257294,0.0
153,0.09092120081186295,0.008110434748232365
154,0.0697401911020279,0.007004310376942158
155,0.05883950740098953,0.013890760019421577
156,0.04995489865541458,0.044837433844804764
157,0.062107428908348083,0.028804490342736244
158,0.06367266178131104,0.00925164483487606
159,0.07366403937339783,0.0037202381063252687
160,0.08840999752283096,0.00384521484375
161,0.09459871053695679,0.005668826401233673
162,0.07283798605203629,0.001747532864101231
163,0.10563213378190994,0.002704326994717121
164,0.05605181306600571,0.014792520552873611
165,0.12794730067253113,0.0006510416860692203
166,0.08051087707281113,0.0035156249068677425
167,0.10633686184883118,0.004934210330247879
168,0.06873125582933426,0.000732421875
169,0.05640336871147156,0.02189216949045658
170,0.0788603127002716,0.003662109375
171,0.0452960729598999,0.03620123490691185
172,0.17669153213500977,0.004909206181764603
173,0.06108342111110687,0.075358547270298
174,0.07015986740589142,0.0036458333488553762
175,0.07320263236761093,0.006277901586145163
176,0.04331517592072487,0.07862380146980286
177,0.06200575456023216,0.014994959346950054
178,0.060015998780727386,0.004185267724096775
179,0.08639684319496155,0.004317434038966894
180,0.08909010142087936,0.016329405829310417
181,0.07556776702404022,0.018262986093759537
182,0.07339456677436829,0.009014423005282879
183,0.07818817347288132,0.0054931640625
184,0.03575890511274338,0.07615935802459717
185,0.06316961348056793,0.04345703125
186,0.08900308609008789,0.005063657183200121
187,0.10921424627304077,0.0037400266155600548
188,0.08230109512805939,0.002170138992369175
189,0.06384751945734024,0.022494718432426453
190,0.05901828408241272,0.011039402335882187
191,0.07394583523273468,0.00509510887786746
192,0.07861751317977905,0.007582720369100571
193,0.1665145456790924,0.0018310546875
194,0.07014599442481995,0.007537841796875
195,0.10634277015924454,0.004330842290073633
196,0.04428505152463913,0.027678117156028748
197,0.1156541109085083,0.0009765625
198,0.08043533563613892,0.011119791306555271
199,0.08621107041835785,0.0008544921875
200,0.06906898319721222,0.01020665280520916
201,0.06436111032962799,0.025644689798355103
202,0.052166592329740524,0.012620192021131516
203,0.036763809621334076,0.04322150722146034
204,0.07473015040159225,0.015108300372958183
205,0.08245281875133514,0.000732421875
206,0.09016922116279602,0.008081896230578423
207,0.05170648172497749,0.0203218013048172
208,0.05024344474077225,0.023032797500491142
209,0.0383724719285965,0.04183397442102432
210,0.07493075728416443,0.0077311196364462376
211,0.0729624554514885,0.00244140625
212,0.10315663367509842,0.0029296875
213,0.0610741451382637,0.01387746725231409
214,0.11318664997816086,0.0008370535797439516
215,0.08643420785665512,0.009538517333567142
216,0.0556413009762764,0.009459252469241619
217,0.07680000364780426,0.0208875872194767
218,0.05676834285259247,0.010371766984462738
219,0.092478908598423,0.018854424357414246
220,0.07298602163791656,0.00537109375
221,0.06054656207561493,0.011145549826323986
222,0.07757315039634705,0.0035156249068677425
223,0.07429826259613037,0.004136029630899429
224,0.0750952959060669,0.008973817341029644
225,0.08015994727611542,0.00634765625
226,0.05675559118390083,0.00966796837747097
227,0.06001277640461922,0.005795686040073633
228,0.05501995235681534,0.033203125
229,0.12577351927757263,0.0013020833721384406
230,0.11197532713413239,0.003943810239434242
231,0.046149276196956635,0.07327041029930115
232,0.059915922582149506,0.014973958022892475
233,0.08429919928312302,0.012676532380282879
234,0.07750652730464935,0.031391847878694534
235,0.08677167445421219,0.0066964286379516125
236,0.06549280881881714,0.00623739929869771
