idx,cd,fscore_t0.01
0,0.06159615144133568,0.006009615492075682
1,0.061373576521873474,0.00732421875
2,0.04162494093179703,0.09799455106258392
3,0.054034166038036346,0.015378659591078758
4,0.04130876064300537,0.028812628239393234
5,0.06000431627035141,0.026749320328235626
6,0.04338783025741577,0.07673422992229462
7,0.0645018219947815,0.020289644598960876
8,0.04306619241833687,0.04594618082046509
9,0.05116072669625282,0.025136718526482582
10,0.05345926433801651,0.025435930117964745
11,0.06200932711362839,0.0069754463620483875
12,0.05684077739715576,0.023279672488570213
13,0.07051020115613937,0.0087890625
14,0.09936566650867462,0.008669969625771046
15,0.0746385008096695,0.0017233456019312143
16,0.054544463753700256,0.00822805892676115
17,0.05152972787618637,0.01953125
18,0.08305907994508743,0.010305850766599178
19,0.07497569918632507,0.0029296875
20,0.06393571197986603,0.00532670458778739
21,0.048922695219516754,0.05054338648915291
22,0.22948038578033447,0.0009765625
23,0.07397475838661194,0.00560461962595582
24,0.07273021340370178,0.004725302569568157
25,0.06370524317026138,0.01019021775573492
26,0.035188838839530945,0.05479991063475609
27,0.05899718031287193,0.011642157100141048
28,0.037452131509780884,0.13102789223194122
29,0.06276711821556091,0.0167410708963871
30,0.06032335013151169,0.01023065485060215
31,0.053614385426044464,0.01101124007254839
32,0.06650956720113754,0.007781982421875
33,0.07267217338085175,0.008951823227107525
34,0.08261547982692719,0.01312255859375
35,0.07049255073070526,0.0032269021030515432
36,0.050350919365882874,0.07100767642259598
37,0.04703648388385773,0.012934846803545952
38,0.0532173328101635,0.008961397223174572
39,0.0273438710719347,0.12272027134895325
40,0.06656541675329208,0.0015980113530531526
41,0.04661788046360016,0.014994959346950054
42,0.05616999417543411,0.015301820822060108
43,0.057151563465595245,0.0007812500116415322
44,0.06625130772590637,0.005126953125
45,0.049162283539772034,0.052187319844961166
46,0.04609440267086029,0.013807239942252636
47,0.05197462812066078,0.011650219559669495
48,0.03929116204380989,0.024839743971824646
49,0.0756961926817894,0.024643424898386
50,0.07936984300613403,0.009654652327299118
51,0.06173648685216904,0.01951904222369194
52,0.09265213459730148,0.004009046126157045
53,0.033909328281879425,0.11386258900165558
54,0.06187649071216583,0.0065104165114462376
55,0.06728044897317886,0.00811089389026165
56,0.0675073117017746,0.007266773842275143
57,0.09209714084863663,0.0008138020639307797
58,0.03695233166217804,0.0912771224975586
59,0.055787764489650726,0.00537109375
60,0.08970464766025543,0.008049242198467255
61,0.04202648624777794,0.02628580667078495
62,0.0805312767624855,0.002197265625
63,0.08460105955600739,0.03685052692890167
64,0.052127234637737274,0.02604166604578495
65,0.05461348593235016,0.012331495061516762
66,0.08632677793502808,0.0023018973879516125
67,0.06337723135948181,0.0386260487139225
68,0.044884782284498215,0.02867617830634117
69,0.08081282675266266,0.0
70,0.05893869325518608,0.007582720369100571
71,0.07239430397748947,0.0031389507930725813
72,0.034760624170303345,0.03873157128691673
73,0.053710855543613434,0.0042724609375
74,0.048682644963264465,0.00954589806497097
75,0.061914585530757904,0.02496279776096344
76,0.05147266387939453,0.01197801437228918
77,0.07762202620506287,0.007448357995599508
78,0.03736221045255661,0.06869688630104065
79,0.058612436056137085,0.010446947999298573
80,0.04366505518555641,0.062316715717315674
81,0.16776815056800842,0.0
82,0.05308368057012558,0.03471952676773071
83,0.06594792008399963,0.04496651887893677
84,0.048731230199337006,0.0086805559694767
85,0.0471431240439415,0.02558840997517109
86,0.12191390246152878,0.0
87,0.06954269111156464,0.00439453125
88,0.043946363031864166,0.03339378535747528
89,0.0469597652554512,0.05053507536649704
90,0.06779185682535172,0.03624400496482849
91,0.06310715526342392,0.02176339365541935
92,0.05206151306629181,0.0071614584885537624
93,0.08802427351474762,0.001708984375
94,0.05430280417203903,0.007560483645647764
95,0.04525359719991684,0.01406249962747097
96,0.07235053181648254,0.01171875
97,0.07717838138341904,0.0078125
98,0.09522728621959686,0.002704326994717121
99,0.04488058388233185,0.01638312079012394
100,0.064096599817276,0.013671875
101,0.04446951672434807,0.021564915776252747
102,0.034382134675979614,0.0618896484375
103,0.11252640932798386,0.01023065485060215
104,0.04135800898075104,0.015024038031697273
105,0.0485755056142807,0.04000318795442581
106,0.048096664249897,0.008848852477967739
107,0.06189052388072014,0.009289253503084183
108,0.05590077489614487,0.01609264872968197
109,0.08136992156505585,0.004009046126157045
110,0.05606190860271454,0.004021139815449715
111,0.05442339554429054,0.011957908049225807
112,0.12670102715492249,0.004647090565413237
113,0.06248891353607178,0.01843731291592121
114,0.044004153460264206,0.05542957782745361
115,0.052526358515024185,0.01052295882254839
116,0.07972898334264755,0.00244140625
117,0.17427422106266022,0.00560461962595582
118,0.057828646153211594,0.06564100086688995
119,0.06538262963294983,0.009748185984790325
120,0.03913595527410507,0.0393383651971817
121,0.05634910985827446,0.00902660470455885
122,0.0554729588329792,0.011831430718302727
123,0.07621245086193085,0.01131924707442522
124,0.048079103231430054,0.03516901656985283
125,0.07858847081661224,0.03448016941547394
126,0.03533245623111725,0.08006703108549118
127,0.06335733830928802,0.007720122579485178
128,0.04521404951810837,0.01993815042078495
129,0.06482112407684326,0.011776763945817947
130,0.053256288170814514,0.014722741208970547
131,0.0499814972281456,0.060570407658815384
132,0.0724753588438034,0.024857955053448677
133,0.1653626263141632,0.006651182658970356
134,0.17184102535247803,0.0008789062267169356
135,0.05295027792453766,0.02059842087328434
136,0.05941849946975708,0.013469827361404896
137,0.054716046899557114,0.008448401466012001
138,0.0601344108581543,0.011637370102107525
139,0.03450629860162735,0.1091402918100357
140,0.06996483355760574,0.0032552082557231188
141,0.06056356430053711,0.0095813674852252
142,0.07047881931066513,0.008427868597209454
143,0.06162601709365845,0.011120854876935482
144,0.12087211012840271,0.0029296875
145,0.061455242335796356,0.012103873305022717
146,0.05371752381324768,0.018349096179008484
147,0.06069604307413101,0.021148681640625
148,0.06470245867967606,0.023979049175977707
149,0.08437900990247726,0.001747532864101231
150,0.0563497468829155,0.0020507811568677425
151,0.040225010365247726,0.03568548336625099
152,0.03992621600627899,0.02264569327235222
153,0.0479700043797493,0.008634868077933788
154,0.03432647883892059,0.0870879739522934
155,0.029842380434274673,0.0720164105296135
156,0.0680297315120697,0.005060369148850441
157,0.047827720642089844,0.11449112743139267
158,0.08017882704734802,0.0034466912038624287
159,0.036741167306900024,0.048668406903743744
160,0.047454796731472015,0.04863492026925087
161,0.04777523875236511,0.01733826845884323
162,0.035154733806848526,0.02318548411130905
163,0.05222724750638008,0.05513100326061249
164,0.049610406160354614,0.0034327651374042034
165,0.03776038438081741,0.15258316695690155
166,0.05378899723291397,0.06186218187212944
167,0.03773851692676544,0.0933440774679184
168,0.08273141086101532,0.005193537101149559
169,0.04413773864507675,0.03844188153743744
170,0.05487489700317383,0.02890322171151638
171,0.0679825022816658,0.0036830357275903225
172,0.043527066707611084,0.02511160634458065
173,0.06534970551729202,0.015164888463914394
174,0.07674667239189148,0.006321404594928026
175,0.04267028719186783,0.03495442867279053
176,0.04929530620574951,0.00534986425191164
177,0.0535002201795578,0.0189644955098629
178,0.14887407422065735,0.002663352293893695
179,0.12923601269721985,0.001953125
180,0.05300801992416382,0.024857955053448677
181,0.028387710452079773,0.056311361491680145
182,0.05599626898765564,0.017107928171753883
183,0.11705335974693298,0.0027573530096560717
184,0.049182526767253876,0.0210129301995039
185,0.036382656544446945,0.030988557264208794
186,0.03979434072971344,0.13037109375
187,0.04129151999950409,0.028311965987086296
188,0.07644660770893097,0.019360918551683426
189,0.05966290459036827,0.0034466912038624287
190,0.06270262598991394,0.006197415757924318
191,0.06430372595787048,0.0050223213620483875
192,0.06484907120466232,0.021054396405816078
